promoter_name	chr	start	end
NM_001376549.1	1	66998044	66999043
NM_001376535.1	1	66998044	66999043
NM_001376554.1	1	66998276	66999275
NM_001376551.1	1	66998276	66999275
NM_001308203.2	1	66998276	66999275
NM_001376545.1	1	66998276	66999275
NM_001376541.1	1	66998276	66999275
NM_001376550.1	1	66998276	66999275
NM_001376547.1	1	66998276	66999275
NM_001376539.1	1	66998276	66999275
NM_001376534.1	1	66998276	66999275
NM_001376542.1	1	66998276	66999275
NM_001376556.1	1	66998836	66999835
NM_001376557.1	1	66998836	66999835
NM_001376555.1	1	66998836	66999835
NM_001376552.1	1	66998836	66999835
NM_001376536.1	1	66998836	66999835
NM_001350218.2	1	66998836	66999835
NM_001376544.1	1	66998836	66999835
NM_001376543.1	1	66998836	66999835
NM_001376537.1	1	66998836	66999835
NM_001376548.1	1	66998836	66999835
NM_001376540.1	1	66998836	66999835
NM_032291.4	1	66998836	66999835
NM_001376546.1	1	66998836	66999835
NM_001376538.1	1	66998836	66999835
NM_001350217.2	1	66998836	66999835
NM_001379618.1	1	8377174	8378173
NM_001379617.1	1	8377174	8378173
NM_001379616.1	1	8377174	8378173
NM_001379615.1	1	8377174	8378173
NM_001080397.3	1	8377174	8378173
NM_001379614.1	1	8377174	8378173
NM_001145278.2	1	16766219	16767218
NM_001145277.2	1	16766219	16767218
NM_018090.5	1	16766219	16767218
NM_013943.3	1	25070938	25071937
NM_001376727.1	1	33545754	33546753
NM_001376730.1	1	33545754	33546753
NM_001293562.2	1	33545754	33546753
NM_001376732.1	1	33545754	33546753
NM_001350401.2	1	33545754	33546753
NM_001376729.1	1	33545754	33546753
NM_001376725.1	1	33545754	33546753
NM_001376722.1	1	33545754	33546753
NM_001350400.2	1	33545754	33546753
NM_001350398.2	1	33545754	33546753
NM_052998.4	1	33545754	33546753
NM_001301824.2	1	33545754	33546753
NM_001301823.2	1	33545754	33546753
NM_001376724.1	1	33545754	33546753
NM_001350399.2	1	33545754	33546753
NR_146649.2	1	33545754	33546753
NR_146648.2	1	33545754	33546753
NM_001301826.1	1	33546779	33547778
NM_001301825.1	1	33546779	33547778
NM_001350402.1	1	33546779	33547778
NR_126031.1	1	33546779	33547778
NM_001323574.2	1	50489627	50490626
NM_001323573.2	1	50489627	50490626
NM_032785.4	1	50489627	50490626
NM_001323575.2	1	50489627	50490626
NR_136623.2	1	50489627	50490626
NM_001379461.1	1	59012399	59013398
NM_003243.5	1	92351709	92352708
NM_001195683.2	1	92351709	92352708
NM_001195684.1	1	92371560	92372559
NR_036634.2	1	92351709	92352708
NM_001399969.1	1	100715391	100716390
NM_001399972.1	1	100715391	100716390
NM_001918.5	1	100715391	100716390
NR_174366.1	1	100715391	100716390
NR_174364.1	1	100715391	100716390
NR_174365.1	1	100715391	100716390
NR_174363.1	1	100715391	100716390
NM_001303229.2	1	150979925	150980924
NM_001303243.2	1	150979925	150980924
NM_001303242.2	1	150979925	150980924
NM_021222.3	1	150979925	150980924
NR_130130.2	1	150979925	150980924
NR_130132.2	1	150979925	150980924
NR_130131.2	1	150979925	150980924
NR_130135.2	1	150979925	150980924
NM_001363558.2	1	159366255	159367254
NM_001363557.2	1	159366255	159367254
NM_022457.7	1	176176423	176177422
NM_001001740.4	1	176176423	176177422
NM_001286644.2	1	176176423	176177422
NM_030806.4	1	184355163	184356162
NM_001366241.1	1	226497205	226498204
NM_173083.3	1	226497205	226498204
NM_001366237.1	1	226497205	226498204
NM_001366239.1	1	226497205	226498204
NM_001270409.1	1	226497205	226498204
NM_001366238.1	1	226497205	226498204
NM_001366240.1	1	226497205	226498204
NM_001366245.2	1	226496866	226497865
NM_001270410.2	1	226497469	226498468
NM_001330306.2	1	1051470	1052469
NM_001363525.2	1	1051470	1052469
NM_017891.5	1	1051470	1052469
NM_002744.6	1	1980850	1981849
NM_001033581.3	1	2004103	2005102
NM_001350803.2	1	2004103	2005102
NM_001350806.2	1	2004103	2005102
NM_001350804.2	1	2004103	2005102
NR_146911.2	1	2004103	2005102
NM_001242874.3	1	2004510	2005509
NM_001350805.2	1	2004510	2005509
NM_001033582.3	1	2035155	2036154
NM_199454.3	1	2984767	2985766
NM_022114.4	1	2984767	2985766
NM_012405.4	1	6296025	6297024
NM_001349612.2	1	6844514	6845513
NM_001349608.2	1	6844514	6845513
NM_001410738.1	1	6844514	6845513
NM_001410737.1	1	6844514	6845513
NM_001349610.2	1	6844514	6845513
NM_001349609.2	1	6844514	6845513
NM_015215.4	1	6844514	6845513
NM_001291381.1	1	13628932	13629931
NR_149058.1	1	14746470	14747469
NR_135054.1	1	19923327	19924326
NM_032409.3	1	20958951	20959950
NR_046507.1	1	20978687	20979686
NM_032236.8	1	22109643	22110642
NM_001330394.3	1	22109643	22110642
NM_001350168.2	1	22109643	22110642
NM_001350167.2	1	22109643	22110642
NM_001350166.2	1	22109643	22110642
NM_001350164.2	1	22109643	22110642
NM_004442.7	1	23036331	23037330
NM_001309192.2	1	23036332	23037331
NM_001309193.2	1	23036332	23037331
NM_017449.5	1	23036332	23037331
NM_001145454.3	1	26232911	26233910
NM_006600.4	1	27247234	27248233
NM_001990.4	1	28415122	28416121
NM_001282561.2	1	28415122	28416121
NM_001282562.2	1	28415122	28416121
NM_001282560.2	1	28415122	28416121
NM_001376028.1	1	29212612	29213611
NM_001376026.1	1	29212612	29213611
NM_001376027.1	1	29212612	29213611
NM_001376025.1	1	29212612	29213611
NM_001376023.1	1	29212612	29213611
NM_001376024.1	1	29212612	29213611
NM_001166007.2	1	29212612	29213611
NM_001376022.1	1	29212612	29213611
NM_004437.4	1	29212612	29213611
NM_203343.3	1	29212612	29213611
NM_001166005.2	1	29212612	29213611
NM_203342.3	1	29212612	29213611
NM_001166006.2	1	29240081	29241080
NM_001376020.1	1	29240081	29241080
NM_001376018.1	1	29240081	29241080
NM_001376021.1	1	29240081	29241080
NM_001376019.1	1	29240081	29241080
NM_001376016.1	1	29240081	29241080
NM_001376017.1	1	29240081	29241080
NM_001376015.1	1	29240081	29241080
NM_001376014.1	1	29240081	29241080
NM_001376013.1	1	29240081	29241080
NM_001020658.2	1	31538565	31539564
NM_014676.3	1	31538565	31539564
NM_001271878.2	1	32478469	32479468
NM_006559.3	1	32478469	32479468
NR_073498.2	1	32478469	32479468
NR_073499.2	1	32478469	32479468
NM_001281956.2	1	34630832	34631831
NM_052896.5	1	34631444	34632443
NR_136703.2	1	35658747	35659746
NR_136702.2	1	35658747	35659746
NM_005066.3	1	35658747	35659746
NM_001321473.2	1	36689044	36690043
NM_005119.4	1	36689044	36690043
NM_001321471.2	1	36689044	36690043
NM_012090.5	1	39548839	39549838
NM_001394062.1	1	39669367	39670366
NM_001355226.2	1	42920778	42921777
NM_001355227.2	1	42927957	42928956
NM_001395383.1	1	42927957	42928956
NM_001355224.2	1	42927957	42928956
NM_001395385.1	1	42927957	42928956
NM_001395382.1	1	42927957	42928956
NM_001395379.1	1	42927957	42928956
NM_001395517.1	1	42927957	42928956
NM_001395384.1	1	42927957	42928956
NM_001329137.2	1	43990708	43991707
NM_001329138.2	1	43990708	43991707
NM_001329140.2	1	43995554	43996553
NM_001329139.2	1	43995554	43996553
NM_130440.4	1	43995554	43996553
NM_002840.5	1	43995554	43996553
NM_001319956.1	1	44869832	44870831
NM_001376487.1	1	44869927	44870926
NM_018150.4	1	44869927	44870926
NM_001376486.1	1	44869927	44870926
NM_001376488.1	1	44871464	44872463
NM_001319957.2	1	44888673	44889672
NM_021639.5	1	46152206	46153205
NM_001194986.2	1	48463058	48464057
NM_007051.3	1	51425940	51426939
NM_002867.4	1	52456373	52457372
NM_001193617.2	1	53391948	53392947
NM_001193599.2	1	53391948	53392947
NM_001193600.2	1	53391948	53392947
NM_002979.5	1	53391948	53392947
NM_153035.3	1	54518281	54519280
NR_130900.2	1	54518281	54519280
NM_015306.3	1	55681038	55682037
NM_001365793.1	1	57888785	57889784
NM_001365792.1	1	57889733	57890732
NM_001353986.2	1	57889733	57890732
NM_001353985.2	1	57889979	57890978
NM_001353983.2	1	57890427	57891426
NM_001379462.1	1	58716176	58717175
NM_021080.5	1	58716176	58717175
NM_001365795.2	1	57889733	57890732
NM_001365794.2	1	57889979	57890978
NM_001353980.2	1	58716176	58717175
NM_001350796.2	1	59761485	59762484
NM_001350798.2	1	59761485	59762484
NM_001350797.2	1	59761485	59762484
NM_001350793.2	1	59761485	59762484
NM_001350795.2	1	59761766	59762765
NM_001113411.2	1	59761766	59762765
NM_018291.5	1	59761766	59762765
NR_103473.2	1	59761766	59762765
NM_001145511.2	1	61541899	61542898
NM_001145512.2	1	61546411	61547410
NM_005595.5	1	61547233	61548232
NM_001134673.4	1	61547233	61548232
NM_001017416.2	1	62901066	62902065
NM_001017415.2	1	62901066	62902065
NM_003368.5	1	62901720	62902719
NM_001206739.2	1	63988897	63989896
NM_014288.5	1	63988897	63989896
NM_001347145.2	1	63988897	63989896
NM_001347148.2	1	63988897	63989896
NR_045147.2	1	63988897	63989896
NM_001347147.2	1	63988897	63989896
NM_020925.4	1	64934812	64935811
NM_001293274.2	1	64970584	64971583
NM_001003680.3	1	65885335	65886334
NM_001003679.3	1	65885335	65886334
NM_002303.6	1	65885351	65886350
NM_001198687.2	1	65990334	65991333
NM_001198689.2	1	65990334	65991333
NM_001198688.1	1	65990372	65991371
NM_001366836.3	1	70032605	70033604
NM_001366837.3	1	70032605	70033604
NM_001366838.3	1	70032605	70033604
NM_001370785.2	1	70032605	70033604
NM_001366839.3	1	70032605	70033604
NM_001330635.3	1	70032605	70033604
NM_001366840.1	1	70033436	70034435
NM_001350216.3	1	70033436	70034435
NM_001366841.1	1	70033436	70034435
NM_001366842.1	1	70034024	70035023
NM_173808.3	1	72748223	72749222
NM_001349110.2	1	76539431	76540430
NM_001160011.3	1	76539431	76540430
NM_001349105.2	1	76539431	76540430
NM_001349108.2	1	76539431	76540430
NM_001349107.2	1	76539431	76540430
NM_152996.4	1	76539431	76540430
NM_001349111.2	1	76539431	76540430
NM_001349106.2	1	76539431	76540430
NM_001349109.3	1	76539431	76540430
